shots, rmsd
1.000000000000000000e+01,1.445628467206375722e-01
2.000000000000000000e+01,9.284481423373776299e-02
3.000000000000000000e+01,6.277136366662205980e-02
4.000000000000000000e+01,5.836753752277023394e-02
5.000000000000000000e+01,5.239104521389846558e-02
6.000000000000000000e+01,6.084758326473543172e-02
7.000000000000000000e+01,5.959970926893595755e-02
8.000000000000000000e+01,5.386746505645369915e-02
9.000000000000000000e+01,5.642017045407592829e-02
1.000000000000000000e+02,5.428274008253353849e-02
2.000000000000000000e+02,5.945806474580648399e-02
3.000000000000000000e+02,5.250931950648533159e-02
4.000000000000000000e+02,5.601665906425527114e-02
5.000000000000000000e+02,5.548960943049190131e-02
6.000000000000000000e+02,5.525616324496185339e-02
7.000000000000000000e+02,5.582709672927244071e-02
8.000000000000000000e+02,5.573053977069997167e-02
9.000000000000000000e+02,5.504448346634539802e-02
1.000000000000000000e+03,5.558492329712806657e-02
2.000000000000000000e+03,5.537528815568731194e-02
3.000000000000000000e+03,5.557403603737450654e-02
4.000000000000000000e+03,5.544597631041378594e-02
5.000000000000000000e+03,5.551587428099203497e-02
