rmsd,shots
4.048610878982974309e-02,1.000000000000000000e+02
6.283313567882424511e-02,2.000000000000000000e+02
5.012682451146912438e-02,3.000000000000000000e+02
5.649559706869444753e-02,4.000000000000000000e+02
5.890128382497054893e-02,5.000000000000000000e+02
