shots, rmsd, std_dev
1.000000000000000000e+01,5.955948490292709563e-01,0.000000000000000000e+00
2.000000000000000000e+01,3.164960600616382180e-01,0.000000000000000000e+00
3.000000000000000000e+01,6.147007184567020860e-02,0.000000000000000000e+00
4.000000000000000000e+01,2.738012548668330437e-01,0.000000000000000000e+00
5.000000000000000000e+01,3.365572828917047787e-01,0.000000000000000000e+00
6.000000000000000000e+01,4.527460600616380892e-01,0.000000000000000000e+00
7.000000000000000000e+01,1.623006290090415332e-02,0.000000000000000000e+00
8.000000000000000000e+01,5.210493849566885660e-03,0.000000000000000000e+00
9.000000000000000000e+01,1.820018563195353045e-01,0.000000000000000000e+00
1.000000000000000000e+02,3.287707297923350702e-01,0.000000000000000000e+00
