shots,rmsd
1.000000000000000000e+02,1.107099552023384614e+00
2.000000000000000000e+02,1.121799141145267686e+00
3.000000000000000000e+02,1.126658153001115270e+00
4.000000000000000000e+02,1.129189632990394543e+00
5.000000000000000000e+02,1.130492925257541303e+00
6.000000000000000000e+02,1.131564807194107125e+00
7.000000000000000000e+02,1.132121267812876253e+00
8.000000000000000000e+02,1.132665845979184294e+00
9.000000000000000000e+02,1.133160205046000790e+00
1.000000000000000000e+03,1.133501745328087340e+00
