shots, mean, variance
1.000000000000000000e+01,3.767736290070810012e-01,1.304140918500096835e-01
2.000000000000000000e+01,2.537024157987662898e-01,2.468181056558160086e-02
3.000000000000000000e+01,1.578162493879679551e-01,1.351351289330545748e-02
4.000000000000000000e+01,1.270935091220687096e-01,1.336191535075314032e-02
5.000000000000000000e+01,1.169044071961557324e-01,6.650113390435689886e-03
6.000000000000000000e+01,1.403730850514605666e-01,9.997388299406488599e-03
7.000000000000000000e+01,1.659910437981528541e-01,1.081407842208449363e-02
8.000000000000000000e+01,8.960296100725237411e-02,4.237946223617878802e-03
9.000000000000000000e+01,1.084275204355351213e-01,1.158195278353012572e-02
1.000000000000000000e+02,1.309033849515545689e-01,9.401719030900024948e-03
