shots,rmsd
1.000000000000000000e+01,7.304437535211060206e-01
2.000000000000000000e+01,8.846432120025096157e-01
3.000000000000000000e+01,9.417213349790464205e-01
4.000000000000000000e+01,9.597041048750689640e-01
5.000000000000000000e+01,9.829980112606425680e-01
6.000000000000000000e+01,9.877572259128640786e-01
7.000000000000000000e+01,9.966427140529908746e-01
8.000000000000000000e+01,1.001046748077974113e+00
9.000000000000000000e+01,1.005859492162376023e+00
1.000000000000000000e+02,1.008352556308607761e+00
