shots,rmsd
1.000000000000000000e+01,7.367885297179427306e-01
2.000000000000000000e+01,8.852459669713418355e-01
3.000000000000000000e+01,9.440765694789737816e-01
4.000000000000000000e+01,9.612044266069725840e-01
5.000000000000000000e+01,9.824475203622271557e-01
6.000000000000000000e+01,9.885713898955297285e-01
7.000000000000000000e+01,9.969308326256407504e-01
8.000000000000000000e+01,1.000431530318486750e+00
9.000000000000000000e+01,1.005262511861044983e+00
1.000000000000000000e+02,1.008401946143557160e+00
