shots,rmsd
1.000000000000000000e+01,7.479428463171581276e-01
2.000000000000000000e+01,8.817787686589713125e-01
3.000000000000000000e+01,9.417213349790464205e-01
4.000000000000000000e+01,9.640197041403039124e-01
5.000000000000000000e+01,9.825230553076454987e-01
6.000000000000000000e+01,9.877572259128640786e-01
7.000000000000000000e+01,9.960692617759144829e-01
8.000000000000000000e+01,9.998474598954829595e-01
9.000000000000000000e+01,1.006626328530337622e+00
1.000000000000000000e+02,1.007943598723129330e+00
